Wall time,Step,Value
1549626169,3451,0.085726917
1549626174,3453,0.075927511
1549626207,3459,0.052437019
1549626209,3460,0.051566511
1549626213,3462,0.044336841
1549626221,3466,0.036576282
1549626236,3473,0.04419582
1549626248,3479,0.034459457
1549626255,3482,0.030892981
1549626267,3488,0.038644157
1549626284,3496,0.027765799
1549626290,3499,0.022201369
1549626301,3501,0.023614949
1549626303,3502,0.022721695
1549626313,3507,0.029924974
1549626316,3508,0.028348669
1549626322,3511,0.029467044
1549626326,3513,0.028323909
1549626328,3514,0.02852178
1549626333,3516,0.027851533
1549626343,3521,0.027137227
1549626363,3531,0.03025984
1549626375,3537,0.032624263
1549626379,3539,0.029215794
1549626381,3540,0.0296055
1549626389,3544,0.026627265
1549626391,3545,0.026420657
1549626400,3549,0.035929676
1549626404,3551,0.036563002
1549626416,3557,0.027569227
1549626418,3558,0.026601525
1549626424,3561,0.023371778
1549626432,3565,0.02763238
1549626457,3577,0.059984162
1549626467,3582,0.055377215
1549626469,3583,0.050608139
1549626473,3585,0.043940879
1549626481,3589,0.037670873
1549626491,3594,0.039909281
1549626493,3595,0.037834778
1549626506,3601,0.04351959
1549626508,3602,0.046905421
1549626512,3604,0.073772378
1549626536,3616,0.063291498
1549626545,3620,0.479883879
1549626549,3622,0.40800634
1549626553,3624,0.339754015
1549626559,3627,0.250758886
1549626565,3630,0.1857187
1549626584,3639,0.090345114
1549626597,3645,0.058950357
1549626601,3647,0.053277604
1549626645,3658,0.047349647
1549626647,3659,0.047816653
1549626660,3665,0.054717124
1549626675,3672,0.061908603
1549626724,3696,0.029397042
1549626726,3697,0.026740503
1549626730,3699,0.023505252
1549626737,3702,0.024747578
1549626741,3704,0.02258781
1549626786,3725,0.026989132
1549626792,3728,0.025134236
1549626801,3732,0.023958988
1549626803,3733,0.022452641
1549626805,3734,0.02395544
1549626809,3736,0.021577863
1549626817,3740,0.018854707
1549626823,3743,0.02656584
1549626828,3745,0.04797411
1549626832,3747,0.043631718
1549626846,3754,0.03030549
1549626853,3757,0.035052322
1549626855,3758,0.037430499
1549626861,3761,0.040721573
